0013N|53|50|49|50|67|50|||51|56|52|53||52|||48|||57|47|43|28|25|20|25|25|17|16|15|78|63||||80|83||||65|66|8|9|11|78|17|78|66|59|39|25|73|57|63|35|26|23|15|13|13|21|12|9|9|10|62|61|47|43|64|36|87|42|40|39|57|77|24|88|60|12|20|23|24|24|74|74|77|77|76|76|13|12|15|16|14|7|33|36|38|49|47|33||95|83|52|54|92|63|63|64|65|65|65|39|45|53|70|67|41|33|35|35|47|43|30|70|69|72|69|67|58|49|45|54|46|47|37|31|28|26|26|29|31|47|43|45|43|43|40|49|45|47|45|45|41|33|30|25|23|22|25|84|82|79|76|75|69|80|77|78|78|51|52|44|83|60|93|50|55|57|67|49|78|41|42|43|44|43|21|85|83|82|87|82|21|61|66|60|49|48|45|63|61|47|43|63|46|79|91|70|71
00164||17|28|23|||||||||||||||||14|13|13|||11|13|13||||46|17||||62||||0|0|||||||10|11|13||8|63|76|25||4|41|15||3|36|10|11|||30|9||2|42|91|90||3|25|18|33||6||||||84|85|89|90|90|90|26|22|15|13|9|15|13|25|46|22|28|29|||0||||78|82|84|85|86|88|18|32|61|26|33|35|11|24|43|19|26||44|48|56|38|14|15|56|59|67|52|21|23|48|37|39|43|31|40|68|58|63|62|31|32|73|62|66|66|32|33|||||||64|60|66|65|59|56|39|47|41|23|89|90|88|86|34|25|18|18||65|85|5|12|24|35|19|24|30|8|24|38|9|19|35|26|33|33|29|26|||30|9||2||27|93|81|31
00174|||||100||||||||||||||||16|51|86|91||20|65|90|93|96||50|||||||||0|0|||||||91|84|99||85|83|71|||70|65|34||68|72|67|||71|73|67||1|86|81|88|||80|75|40||||||||10|10|21|22|22|22|33|33|41|43|48|45||25|17|17|17|15|||||||13|15|16|16|15|15||33|27|23|23|21||28|21|20|19|15|77|84|97|93|42|68|81|86|97|94|55|76|21|12|8|12|10|6|33|0|0|32|0|0|35|0|0|33|0|0|||||||66|55|50|54|57|63|9|10|11|8|42|27|30|13|6|7|6|5|90|7|35|||21|13|15|13|47|2|9|16|11|7|10|72|16|10|54|57|83|71|73|67||1||8|0|0|83
001C4||80|3|5|||||||||||||||||15|7|2|||53|53|42||||27||||62|88||||0|0|||||||13|5|5|5|89|7|2|10||54|19|88||50|15|86|53|86|51|15|86||88|91|35|50||32|42|16|9||95||||||48|46|55|60|63|63|53|23|36|64|72|34|28|15|14|29|95|15|||||0||65|66|66|66|69|69|38|33|31|39|86|28|32|26|24|32|65||51|62|71|80|92|92|61|70|77|84|93|93|32|33|23|18|21|22|68|69|61|54|58|59|71|73|63|57|61|62|94|95|96|96|92||25|22|31|34|36|35|68|62|62|86||55|56|71|97|89|90|92||57|45||50|17|13|35|83|16|38|31|28|37|67|26|17|14|25|36|42||51|15|86||88||96|93|53|37
001C6|66|70|74|74|77|47|||59|49|33|||46|||48|||70|100|||||65|63|48||||83||||78||89|||67|68|14|||66|75|67|50|51|48||57|61|83|65||52|63|64||47|59|58|65|50|65|59|58||67||6|15||7|95|42|47||100|39||||47|82|82|84|84|83|83|28|28|28|2|1|2|72|72|72|70|68|65|56|59|59|46|0|0|73|73|72|72|70|69|95|94|94|94|93|93||3|9|93|77|77|53|50|52|45|53|52|33|28|24|19|21|19|88|89|91|93|24|23|95|96|97|98|37|37|||||38|38|51|48|43|69|79|70|81|80|82|84|84|84|90|88|90|93|96|78|77|77|82|84|53|70||89|81|38|71|71|70|69|62|61|78|74|69|78|92|91|75|80|85|86|86|86|65|59|58||68|62|90|88|93|34
00220|75|48|46|44|64|71|68||67|57|80|63|58|70|66||72|69||67|50|40|35|63|66|44|36|36|41|41||||||88|75||||80|84|51|46|46|85||81|6|87|78|74|38|4|44|89|32|64|90|86|50|61|60|61|27|48|30|33|49|35|56|59|36|80|82|65|87|97|38|10|30|43|64|67|24|42|95|95|97|96|92|92|36|15|35|31|45|46|66|65|54|29|57|81|71|75|79||80|51|95|96|96|96|89|88|75|71|64|36|73|94|64|58|49|27|66|87|46|27|27|27|32|36|50|31|25|30|38|42|38|46|50|50|57|52|53|59|65|58|62|54|55|61|68|61|65|57|67|62|58|67|71|71|47|43|52|53|67|67|78|75|77|80|78|95|96|44|43|68|80|61|47|95|95||53|53|57|48|52|45|67|68|74|67|76|72|11|8|15|14|42|43|30|33|49|35|57|20|48|91|96|17
002F7|||||||||||||||||||||||||||||||||||||||||0|||||||||||||||||5|2|||5|2|||12|5|1|||9|2|10||||||||10||||||||12|13|0||||||||||11|89||||||0|||2|0|0|0|0||2||||||||||||||||||8||||||98||||||||||||||||||||||||||||||42|32|30|97||0|0|44|99|||||27|3||||11|79|||||||||||||||6|2|||9|||||
0036B|95|75|44|32|11|4|||15|18|3|||7|||3|||24|72|52|47|||39|15|13||||||||40|22|16|||0|0|||||96||77|90|||4|80|88|||46|94|||43|94|||14|51|97|||15|8|14|||60|73|60|||52||||||55|61|65|60|56|55|11|13|13|15|16|13|37|59|64|37|28|31|0|0|0|0||0|48|48|51|44|40|41|53|89|93|47|29||39|82|83|40|82||59|65|54|45|38|37|41|38|28|29|22|17|46|49|51|36|52|49|71|75|72|49|70|66|74|79|76|51|||43|45|44|53|46||79|86|87|89|84||72|67|61|93|77|59|69|93|96|93|96|94||57|38|17|35|51|49|46|41|29|42|75|86|71|57|35|75|86|86|88|88||53|97|||16|6|95||65|37
00417|74|89|85|80|||||||||||||||||19|58|72|||31|50|62|||33|||||33|||||0|0|||||19||10|80|||14|14|78|||19|63|||25|59|||93|25|59|||94|55|14|||86|54|9|||94||||||63|64|72|69|63|58|99|100|100|100|100|100|44|31|33|27|26|22|0||||||59|60|61|60|57|57|61|37|38|31|32||39|31|30|26|27||83|82|80|85|20|61|85|85|84|88|31|71|12|14|13|22|11|6|0|42|0|0|0|0|0|44|0|0|0|0|||||||63|65|74|69|59||27|29|32|19|0|60|72|5|7|18|13|9||60|42|95|43|28|28|25|23|19|||||||65|72|84|84|83||25|59|||94|8|8|76|36|
0041D|||||||||||||||||||||||||||||||92||||||||||0|0||||||||||||||||||||||||39|||||46|13||||76|76||||||||||||12|0|||||88||||||25||||||||||1|0|0|0|||||||||96||||||||||||||||||||||||||||||||||||||||||||||||6|42|8|0||9|11|7|6|5|1|2||1|3||||23||||||||||||||||||||47||5|||
