00005||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
009C2|12/31/2019|09/30/2019|0.803|1.051|0.148|0.970|0.660|5|0|4|-23.6|0.799|1.101|0.400|1.210|0.140|5|0|4|-27.4|1.509|1.613|0.741|2.510|0.500|5|0|3|-6.4|0.130|0.295|0.042|0.160|0.100|2|0|2|-55.9|0.160|0.255|0.099|0.230|0.090|2|0|2|-37.3||||||||||11/05/2019|0.290|-9999.290||0.030||29.5|-0.5|88.9|0.323|0.355|1.136|1.290|1.593|08/13/2019|-0.035|0.260|0.295|-11.9|0.049|-0.7|06/30/2019|03/20/2020|05/12/2020
009D5|12/31/2019|09/30/2019|-1.528|-1.428|0.026|-1.490|-1.550|4|0|4|-7.0|-1.147|-0.878|0.251|-0.830|-1.440|4|1|3|-30.6|-0.470|-0.470|0.438|-0.160|-0.780|2|0|0|0.0|-0.335|-0.320|0.025|-0.300|-0.360|4|2|2|-4.7|-0.318|-0.217|0.033|-0.270|-0.340|4|0|3|-46.5|||||||||-0.460|11/11/2019|-0.373|-0.087|-23.3|0.015|-5.8|30.5|24.9|59.0|-0.320|-0.217|-1.428|-0.878|-0.385|08/06/2019|-0.002|-0.350|-0.348|-0.6|0.073|0.0|06/30/2019|03/06/2020|05/10/2020
009DE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
009E0|12/31/2019|09/30/2019|1.694|1.631|0.117|1.840|1.540|6|3|2|3.9|1.575|1.774|0.115|1.700|1.368|7|0|6|-11.2|1.591|1.739|0.315|1.870|1.000|6|0|4|-8.5|0.308|0.319|0.068|0.410|0.205|7|2|2|-3.4|0.325|0.378|0.045|0.400|0.283|5|1|4|-14.0|2.706|3.211|2.342|4.362|1.050|2|0|1|0.600|10/31/2019|0.496|0.104|21.0|0.029|3.6|0.2|-7.0|1.0|0.326|0.394|1.652|1.790|1.690|07/25/2019|0.009|0.480|0.471|1.9|0.021|0.4|06/30/2019|02/24/2020|04/29/2020
009F7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00A11|12/31/2019|09/30/2019|-3.268|-3.632|0.554|-2.510|-3.840|4|2|0|10.0|-3.052|-3.073|0.487|-2.549|-3.720|4|2|0|0.7|-2.915|-3.026|0.592|-2.330|-3.519|4|3|0|3.7|-0.783|-0.763|0.393|-0.270|-1.100|4|1|1|-2.6|-0.805|-0.805|0.148|-0.700|-0.910|2|0|0|0.0|||||||||-0.270|11/14/2019|-0.866|0.596|68.8|0.424|1.4|73.5|6.6|4.5|-0.770|-0.700|-3.476|-2.844|-3.026|08/12/2019|-0.422|-1.020|-0.598|-70.6|0.405|-1.0|06/30/2019|03/28/2020|05/16/2020
00A19|12/31/2019|06/30/2019|0.307|0.307|0.013|0.316|0.298|2|0|0|0.0|0.748|0.748|0.219|0.903|0.593|2|0|0|0.0|1.193|1.193|0.403|1.479|0.908|2|0|0|0.0|0.064|0.064||0.064|0.064|1|0|0|0.0|0.127|0.127||0.127|0.127|1|0|0|0.0|||||||||0.095|08/23/2019|0.056|0.040|69.6||0.0|35.0|20.4|8.5|0.043|0.043|0.202|0.603|1.203|05/13/2019|0.013|0.027|0.014|92.9||0.0|03/31/2019|12/02/2019|03/17/2020
00A1B|12/31/2019|09/30/2019|0.829|0.815|0.004|0.839|0.820|15|14|0|1.7|0.929|0.926|0.034|0.971|0.847|15|5|5|0.3|1.072|1.055|0.044|1.160|0.990|12|4|2|1.6|0.222|0.222|0.004|0.230|0.220|15|3|3|0.0|0.209|0.207|0.012|0.230|0.189|15|5|1|1.0|21.350|21.450|1.768|22.600|20.100|2|1|1|0.210|10/30/2019|0.200|0.010|5.0|0.001|10.0|38.2|12.1|15.4|0.222|0.207|0.815|0.929|1.055|08/01/2019|0.012|0.200|0.188|6.4|0.004|3.0|06/30/2019|02/07/2020|04/27/2020
00A48|12/31/2019|09/30/2019|2.017|1.653|0.361|2.500|1.630|6|6|0|22.0|-2.115|-2.363|1.846|1.200|-3.900|6|5|0|10.5|-2.428|-3.100|1.279|-0.530|-3.240|4|4|0|21.7|-0.308|-0.075|0.441|0.300|-0.750|6|4|2|-310.7|-0.643|-0.725|0.389|-0.140|-1.090|4|3|0|11.3|||||||||2.900|11/07/2019|2.240|0.660|29.5|0.344|1.9|340.1|-204.9|-14.8|-0.075|-0.725|1.653|-2.363|-3.100|08/07/2019|0.070|-0.210|-0.280|25.0|0.155|0.5|06/30/2019|03/09/2020|05/11/2020
00A4B|12/31/2019|09/30/2019|-2.672|-3.011|0.204|-2.540|-3.080|6|5|0|11.3|-2.598|-3.151|0.911|-1.022|-4.070|8|5|0|17.5|-2.645|-3.481|1.133|-0.825|-4.040|7|5|0|24.0|-0.621|-0.818|0.125|-0.520|-0.860|6|5|0|24.1|-0.740|-0.883|0.166|-0.620|-0.930|3|1|0|16.2|||||||||-0.630|11/07/2019|-0.818|0.188|23.0|0.021|9.0|-39.9|2.8|-1.8|-0.818|-0.825|-3.011|-2.920|-3.041|08/07/2019|-0.204|-0.800|-0.596|-34.2|0.035|-5.8|06/30/2019|03/09/2020|06/01/2020
