FIELD_NAME|AVERAGE|HIGH|LOW|SAMPLE|MEDIAN|STDDEV
MINOR_Q5|163.22|61376.00|0.00|5880|0.00|1501.33
MINOR_Q6|162.58|50597.00|0.00|5856|0.00|1328.95
MINOR_Q7|156.88|52667.00|0.00|5832|0.00|1317.11
MINOR_Q8|159.83|51628.00|0.00|5822|0.00|1323.00
MINOR_Y1|175.53|67335.00|0.00|5718|0.00|1477.74
MINOR_Y2|173.66|51628.00|0.00|5701|0.00|1462.91
MINOR_Y3|157.35|43235.00|0.00|5655|0.00|1223.14
MINOR_Y4|154.85|43920.40|0.00|5597|0.00|1243.63
MINOR_Y5|154.50|46304.50|0.00|5559|0.00|1230.53
MINOR_Y6|168.65|56580.00|0.00|5495|0.00|1593.12
MINOR_Y7|157.56|52376.00|0.00|5382|0.00|1421.30
MKTCAP|7622.41|1166979.00|0.00|6114|402.25|37331.49
MKTCAP_Q1|7354.38|859275.50|0.00|5928|421.85|31274.72
MKTCAP_Q2|7312.69|933559.50|0.00|5962|439.20|32331.19
MKTCAP_Q3|7344.06|904835.80|0.00|5877|448.60|33876.76
MKTCAP_Q4|6961.40|781276.50|0.00|5806|430.40|31229.08
MKTCAP_Q5|7711.61|977464.00|0.00|5713|533.00|33507.63
MKTCAP_Q6|7660.46|903738.00|0.00|5624|544.95|33959.90
MKTCAP_Q7|7461.66|843073.90|0.00|5499|511.30|32262.66
MKTCAP_Q8|7536.60|865252.20|0.00|5388|518.60|32162.68
MKTCAP_Y1|6533.47|779346.60|0.00|5889|393.40|29935.29
MKTCAP_Y2|7578.94|838598.40|0.00|5575|468.30|32028.13
MKTCAP_Y3|6550.40|604261.00|0.00|5284|427.25|26154.14
MKTCAP_Y4|6310.71|575858.50|0.00|5053|392.30|25109.54
MKTCAP_Y5|6932.24|635062.60|0.00|4791|477.70|25917.82
MKTCAP_Y6|7104.02|487734.30|0.00|4472|478.25|25680.07
MKTCAP_Y7|6021.15|492428.20|0.00|4186|364.75|22316.31
NCAPS_Q1|-5974.81|1706.43|-34050415.0|5791|-2.18|447422.92
NCC_12M|-8.32|50126.00|-162500.00|5600|0.00|2620.36
NCC_Q1|14.12|30189.00|-35309.00|5979|0.00|908.38
NCC_Q2|7.42|28262.00|-34566.00|6059|0.00|973.83
NCC_Q3|-14.66|23811.00|-42663.00|6027|-0.03|947.63
NCC_Q4|-7.28|26568.17|-140304.00|6002|0.00|2156.03
NCC_Q5|0.96|20398.00|-26673.00|5953|0.00|892.92
NCC_Q6|-30.27|21734.51|-38946.00|5943|0.00|1255.96
NCC_Q7|19.94|46807.00|-26024.42|5907|0.00|1307.48
NCC_Q8|12.10|31201.65|-27852.00|5865|0.00|905.13
NCC_Y1|-17.73|47422.34|-152511.00|6079|0.00|2576.20
NCC_Y2|123.56|103262.91|-25252.00|6055|0.14|2465.15
NCC_Y3|87.75|140337.86|-41315.00|5926|0.02|2838.34
NCC_Y4|5.90|80982.36|-375350.00|5695|0.00|5330.31
NCC_Y5|39.40|98387.62|-44980.00|5459|0.00|2029.73
NCC_Y6|200.23|790555.51|-53429.10|5267|0.10|11359.18
NCC_Y7|-47.19|33836.40|-371852.15|5031|0.02|5457.65
NCPS_Q1|24.30|45790.57|0.00|2375|1.21|939.67
NETIN_G1Q5|-11.42|996.20|-987.80|5158|0.00|174.73
NETIN_G1T|-0.61|992.50|-953.50|4977|2.90|170.75
NETIN_G2Q6|-7.73|996.50|-997.50|5713|1.20|180.08
NETIN_G3Q7|-9.45|974.60|-995.30|5635|2.70|191.48
NETIN_G4Q8|9.79|995.20|-984.30|5532|5.10|214.55
NETINC_12M|377.94|55256.00|-10912.00|5155|6.68|2012.84
NETINC_G1F|2.59|993.40|-979.70|5708|9.60|182.91
NETINC_G3F|-4.23|959.80|-948.00|5666|7.40|93.02
NETINC_G5F|-3.98|773.40|-938.90|5253|4.00|60.86
NETINC_G7F|-0.12|243.60|-321.30|4770|4.70|35.92
NETINC_Q1|102.12|16524.00|-11383.00|5462|1.39|696.86
NETINC_Q2|101.52|14073.00|-5389.00|6099|0.57|629.32
NETINC_Q3|89.95|21661.00|-6165.00|6081|0.31|582.15
NETINC_Q4|87.63|45372.03|-25392.00|6049|0.42|899.54
