00460|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00460|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|RES|RES|CLA|UPD|UPD|UPD|UPD|CLA|CLA|UPD|UPD
00472|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00472|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
004AF|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|004AF|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
004FB|06/30/2019|06/30/2018|06/30/2017|06/30/2016|06/30/2015|06/30/2014||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12||3|3|3|3|3|3|3|3|004FB|T|M|M|M|M|M|M||M|M|M|M|M|M|M|M|UPD|CLA|CLA|UCA|UPD|UPD||UPD|UPD|UPD|UPD|UPD|CLA|CLA|RES
0051E|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||06/30/2019|03/31/2019|12/31/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|06/30/2017|12|12|12|12|12|||3|3|12|3|3|3|3|3|0051E|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00521|06/30/2019|06/30/2018|06/30/2017|06/30/2016|06/30/2015|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|00521|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|RES|UPD
00524|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|12|3|3|3|3|00524|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|RES|RES|UPD
00620|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00620|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|UPD|CLA|CLA|CLA|UPD|CLA|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
0065N|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|0065N|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|RES|RES|UPD|RES|CLA|CLA|UPD|UPD|UPD|UPD|RES|RES|RES|RES
0070B|03/31/2019|03/31/2018|03/31/2017|03/31/2016|03/31/2015|||03/31/2019|09/30/2018|03/31/2018|09/30/2017|03/31/2017|09/30/2016|03/31/2016|09/30/2015|12|12|12|12|12|||6|6|6|6|6|6|6|6|0070B|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
007F3|12/31/2018|12/31/2017|12/31/2016|||||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|5|||||3|3|3|3|3|3|3|3|007F3|T|M|M|M|||||M|M|M|M|M|M|M|M|UPD|RES|UPD|||||UPD|UPD|UPD|UPD|RES|RES|RES|RES
00809|09/28/2018|09/29/2017|09/30/2016|10/02/2015|09/26/2014|09/27/2013||06/28/2019|03/29/2019|12/28/2018|09/28/2018|06/29/2018|03/30/2018|12/29/2017|09/29/2017|52|52|52|53|52|52||13|13|13|13|13|13|13|13|00809|T|W|W|W|W|W|W||W|W|W|W|W|W|W|W|UPD|UPD|UPD|UPD|UPD|UPD||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00835|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00835|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|UPD|UPD|RES|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00847|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|00847|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00885|03/31/2019|03/31/2018|03/31/2017|03/31/2016|03/31/2015|03/31/2014|03/31/2013|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00885|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|RES|RES|UPD|RES|RES|RES|UPD|UPD|UPD|UPD|UPD|RES|RES|RES
008B1|12/31/2018|12/31/2017||||||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018||12|12||||||3|3|3|3|3|6|3||008B1|T|M|M||||||M|M|M|M|M|M|M||UPD|UPD||||||UPD|UPD|UPD|UPD|UPD|UPD|UPD|
00912|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00912|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
0091N|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|0091N|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|CLA|CLA|UPD|RES|RES|RES|UPD|UPD|UPD|UPD|UPD|UPD|UPD|CLA
0093A|12/31/2018|12/31/2017|12/31/2016|||||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|||||3|3|3|3|3|3|3|3|0093A|T|M|M|M|||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|||||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00946|03/31/2019|03/31/2018|03/31/2017|03/31/2016|03/31/2015|04/01/2014||06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|12|12|12|12|12|12||3|3|3|3|3|3|3|3|00946|T|M|M|M|M|M|M||M|M|M|M|M|M|M|M|UPD|UPD|CLA|CLA|UPD|UPD||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
0095A|03/31/2019|03/31/2018|03/31/2017|03/31/2016|03/31/2015|03/31/2014|03/31/2013|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|0095A|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|CLA|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
0096D|06/30/2019|06/30/2018||||||06/30/2019|03/31/2019|12/31/2018|09/30/2018|||||12|12||||||3|3|3|3|||||0096D|T|M|M||||||M|M|M|M|||||UPD|UPD||||||UPD|UPD|UPD|UPD||||
00987|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|00987|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
009A6|12/31/2018|12/31/2017|12/31/2016|12/31/2015||||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12||||3|3|3|3|3|6|3|3|009A6|T|M|M|M|M||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD||||UPD|UPD|UPD|UPD|UPD|RSP|RES|UPD
